_id,device_id,store_id,device_type,device_group,make,model,serial_number,pump,grade,capacity,inspection_cycle,remarks,deleted
9395077,43,33113,DIESEL,FUEL DISPENSER,GILBARCO,,406953,1,DIESEL,,12 MONTH,,0
9395078,44,33113,DIESEL,FUEL DISPENSER,GILBARCO,,406953,2,DIESEL,,12 MONTH,,0
9395079,45,33113,DIESEL,FUEL DISPENSER,GILBARCO,,406969,13,DIESEL,,12 MONTH,,0
9395080,46,33113,DIESEL,FUEL DISPENSER,GILBARCO,,406959,14,DIESEL,,12 MONTH,,0
9395081,47,31723,GASOLINE,FUEL DISPENSER,GILBARCO,,137739,1,U-93,,12 MONTH,,0
9395082,48,31723,GASOLINE,FUEL DISPENSER,GILBARCO,,137739,2,U-93,,12 MONTH,,0
9395083,49,31723,GASOLINE,FUEL DISPENSER,GILBARCO,,10118,3,U-93,,12 MONTH,REJECTED,1
9395084,50,31723,GASOLINE,FUEL DISPENSER,GILBARCO,,137737,3,U-93,,12 MONTH,,0
9395085,51,31723,GASOLINE,FUEL DISPENSER,GILBARCO,,137737,4,U-93,,12 MONTH,,0
9395086,52,31723,GASOLINE,FUEL DISPENSER,GILBARCO,,137738,5,U-93,,12 MONTH,,0
9395087,53,31723,GASOLINE,FUEL DISPENSER,GILBARCO,,137738,6,U-93,,12 MONTH,,0
9395088,54,31723,GASOLINE,FUEL DISPENSER,GILBARCO,,137739,1,PL-89,,12 MONTH,,0
9395089,55,31723,GASOLINE,FUEL DISPENSER,GILBARCO,,10118,3,PL-89,,12 MONTH,REJECTED,1
9395090,56,31723,GASOLINE,FUEL DISPENSER,GILBARCO,,137739,2,PL-89,,12 MONTH,,0
9395091,57,31723,GASOLINE,FUEL DISPENSER,GILBARCO,,137737,3,PL-89,,12 MONTH,,0
9395092,58,31723,GASOLINE,FUEL DISPENSER,GILBARCO,,137737,4,PL-89,,12 MONTH,,0
9395093,59,31723,GASOLINE,FUEL DISPENSER,GILBARCO,,137738,5,PL-89,,12 MONTH,,0
9395094,60,31723,GASOLINE,FUEL DISPENSER,GILBARCO,,137738,6,PL-89,,12 MONTH,,0
9395095,61,31723,GASOLINE,FUEL DISPENSER,GILBARCO,,10118,3,R-87,,12 MONTH,REJECTED,1
9395096,62,31723,GASOLINE,FUEL DISPENSER,GILBARCO,,137739,1,R-87,,12 MONTH,,0
9395097,63,31723,GASOLINE,FUEL DISPENSER,GILBARCO,,137739,2,R-87,,12 MONTH,,0
9395098,64,31723,GASOLINE,FUEL DISPENSER,GILBARCO,,137737,3,R-87,,12 MONTH,,0
9395099,65,31919,KEROSENE,FUEL DISPENSER,GILBARCO,,098960,1,KEROSENE,,12 MONTH,,1
9395100,66,31516,Gasoline,Fuel Dispenser,TOKHEIM,,903001,,PR-93,,12 MONTH,,0
9395101,67,31516,Gasoline,Fuel Dispenser,TOKHEIM,,903001,,PR-93,,12 MONTH,,0
9395102,68,31516,Gasoline,Fuel Dispenser,TOKHEIM,,903002,,PR-93,,12 MONTH,,0
9395103,69,31516,Gasoline,Fuel Dispenser,TOKHEIM,,903002,,PR-93,,12 MONTH,,0
9395104,70,31516,Gasoline,Fuel Dispenser,TOKHEIM,,903003,,PR-93,,12 MONTH,,0
9395105,71,31516,Gasoline,Fuel Dispenser,TOKHEIM,,903003,,PR-93,,12 MONTH,,0
9395106,72,31516,Gasoline,Fuel Dispenser,TOKHEIM,,903001,,R-87,,12 MONTH,,0
9395107,73,31516,Gasoline,Fuel Dispenser,TOKHEIM,,903001,,R-87,,12 MONTH,,0
9395108,74,31516,Gasoline,Fuel Dispenser,TOKHEIM,,903002,,R-87,,12 MONTH,,0
9395109,75,31516,Gasoline,Fuel Dispenser,TOKHEIM,,903002,,R-87,,12 MONTH,,0
9395110,76,31516,Gasoline,Fuel Dispenser,TOKHEIM,,903003,,R-87,,12 MONTH,,0
9395111,77,31516,Gasoline,Fuel Dispenser,TOKHEIM,,903003,,R-87,,12 MONTH,,0
9395112,78,31516,Gasoline,Fuel Dispenser,TOKHEIM,,903001,,PL-89,,12 MONTH,,0
9395113,79,31516,Gasoline,Fuel Dispenser,TOKHEIM,,903001,,PL-89,,12 MONTH,,0
9395114,80,31516,Gasoline,Fuel Dispenser,TOKHEIM,,903002,,PL-89,,12 MONTH,,0
9395115,81,31516,Gasoline,Fuel Dispenser,TOKHEIM,,903002,,PL-89,,12 MONTH,,0
9395116,82,31516,Gasoline,Fuel Dispenser,TOKHEIM,,903003,,PL-89,,12 MONTH,,0
9395117,83,31516,Gasoline,Fuel Dispenser,TOKHEIM,,903003,,PL-89,,12 MONTH,,0
9395118,84,31516,Diesel,Fuel Dispenser,TOKHEIM,,903003,,DIESEL,,12 MONTH,,0
9395119,85,31516,Diesel,Fuel Dispenser,TOKHEIM,,903003,,DIESEL,,12 MONTH,,0
9395120,86,31516,Diesel,Fuel Dispenser,TOKHEIM,,902920,,DIESEL,,12 MONTH,,0
9395121,87,31516,Diesel,Fuel Dispenser,TOKHEIM,,902920,,DIESEL,,12 MONTH,,0
9395122,88,31842,Gasoline,Fuel Dispenser,TOKHEIM,,85293,1,R-87,,12 MONTH,,0
9395123,89,31842,Gasoline,Fuel Dispenser,TOKHEIM,,84840,2,PR-93,,12 MONTH,,0
9395124,90,31842,Gasoline,Fuel Dispenser,TOKHEIM,,84847,3,R-87,,12 MONTH,,0
9395125,91,31842,Gasoline,Fuel Dispenser,TOKHEIM,,84947,4,PL-89,,12 MONTH,,0
9395126,92,33159,GASOLINE,FUEL DISPENSER,WAYNE,,36139,3,PR-93,,12 MONTH,,0
9395127,93,33159,GASOLINE,FUEL DISPENSER,WAYNE,,36139,4,PR-93,,12 MONTH,,0
9395128,94,33159,Gasoline,Fuel Dispenser,WAYNE,,36138,5,PR-93,,12 MONTH,,0
9395129,95,33159,Gasoline,Fuel Dispenser,WAYNE,,36138,6,PR-93,,12 MONTH,,0
9395130,96,33159,GASOLINE,FUEL DISPENSER,WAYNE,,36137,7,PR-93,,12 MONTH,,0
9395131,97,33159,GASOLINE,FUEL DISPENSER,WAYNE,,36137,8,PR-93,,12 MONTH,,0
9395132,98,33159,GASOLINE,FUEL DISPENSER,WAYNE,,36140,9,PR-93,,12 MONTH,,0
9395133,99,33159,GASOLINE,FUEL DISPENSER,WAYNE,,36140,10,PR-93,,12 MONTH,,0
9395134,100,33159,DIESEL,FUEL DISPENSER,WAYNE,,36136,11,DIESEL,,12 MONTH,,0
9395135,101,33159,DIESEL,FUEL DISPENSER,WAYNE,,36136,12,DIESEL,,12 MONTH,,0
9395136,102,33159,Gasoline,Fuel Dispenser,WAYNE,,36139,3,PL-89,,12 MONTH,,0
9395137,103,33159,GASOLINE,FUEL DISPENSER,WAYNE,,36139,4,PL-89,,12 MONTH,,0
9395138,104,33159,GASOLINE,FUEL DISPENSER,WAYNE,,36138,5,PL-89,,12 MONTH,,0
9395139,105,33159,Gasoline,Fuel Dispenser,WAYNE,,36138,6,PL-89,,12 MONTH,,0
9395140,106,33159,GASOLINE,FUEL DISPENSER,WAYNE,,36137,7,PL-89,,12 MONTH,,0
9395141,107,33159,GASOLINE,FUEL DISPENSER,WAYNE,,36137,8,PL-89,,12 MONTH,,0
9395142,108,33159,Gasoline,Fuel Dispenser,WAYNE,,36140,9,PL-89,,12 MONTH,,0
9395143,109,33159,Gasoline,Fuel Dispenser,WAYNE,,36140,10,PL-89,,12 MONTH,,0
9395144,110,33159,GASOLINE,FUEL DISPENSER,WAYNE,,36139,3,R-87,,12 MONTH,,0
9395145,111,33159,GASOLINE,FUEL DISPENSER,WAYNE,,36139,4,R-87,,12 MONTH,,0
9395146,112,33159,GASOLINE,FUEL DISPENSER,WAYNE,,36138,5,R-87,,12 MONTH,,0
9395147,113,33159,Gasoline,Fuel Dispenser,WAYNE,,36138,6,R-87,,12 MONTH,,0
9395148,114,33159,GASOLINE,FUEL DISPENSER,WAYNE,,36137,7,R-87,,12 MONTH,,0
9395149,115,33159,GASOLINE,FUEL DISPENSER,WAYNE,,36137,8,R-87,,12 MONTH,,0
9395150,116,33159,Gasoline,Fuel Dispenser,WAYNE,,36140,9,R-87,,12 MONTH,,0
9395151,117,33159,GASOLINE,FUEL DISPENSER,WAYNE,,36140,10,R-87,,12 MONTH,,0
9395152,118,31775,Gasoline,Fuel Dispenser,SCHLUMB,,550228,1,PR-93,,12 MONTH,,0
9395153,119,31775,GASOLINE,FUEL DISPENSER,SCHLUMB,,550228,2,PR-93,,12 MONTH,,0
9395154,120,31775,GASOLINE,FUEL DISPENSER,SCHLUMB,,550229,3,PR-93,,12 MONTH,+ .01,0
9395155,121,31775,GASOLINE,FUEL DISPENSER,SCHLUMB,,550229,4,PR-93,,12 MONTH,+ .03,0
9395156,122,31775,Gasoline,Fuel Dispenser,SCHLUMB,,550232,5,PR-93,,12 MONTH,,0
9395157,123,31775,GASOLINE,FUEL DISPENSER,SCHLUMB,,550232,6,PR-93,,12 MONTH,,0
9395158,124,31775,GASOLINE,FUEL DISPENSER,SCHLUMB,,550231,7,PR-93,,12 MONTH,,0
9395159,125,31775,Gasoline,Fuel Dispenser,SCHLUMB,,550231,8,PR-93,,12 MONTH,,0
9395160,126,31775,GASOLINE,FUEL DISPENSER,SCHLUMB,,550228,1,PL-89,,12 MONTH,,0
9395161,127,31775,GASOLINE,FUEL DISPENSER,SCHLUMB,,550229,2,PL-89,,12 MONTH,+ .32,0
9395162,128,31775,GASOLINE,FUEL DISPENSER,SCHLUMB,,550232,3,PL-89,,12 MONTH,,0
9395163,129,31775,GASOLINE,FUEL DISPENSER,SCHLUMB,,550231,4,PL-89,,12 MONTH,+ .01,0
9395164,130,31775,GASOLINE,FUEL DISPENSER,SCHLUMB,,550228,5,PL-89,,12 MONTH,+ .01,0
9395165,131,31775,Gasoline,Fuel Dispenser,SCHLUMB,,550228,6,PL-89,,12 MONTH,,0
9395166,132,31775,GASOLINE,FUEL DISPENSER,SCHLUMB,,550229,7,PL-89,,12 MONTH,+ .01,0
9395167,133,31775,GASOLINE,FUEL DISPENSER,SCHLUMB,,550229,8,PL-89,,12 MONTH,,0
9395168,134,31775,GASOLINE,FUEL DISPENSER,SCHLUMB,,550232,1,R-87,,12 MONTH,,0
9395169,135,31775,Gasoline,Fuel Dispenser,SCHLUMB,,550232,2,R-87,,12 MONTH,,0
9395170,136,31775,Gasoline,Fuel Dispenser,SCHLUMB,,550231,3,R-87,,12 MONTH,,0
9395171,137,31775,GASOLINE,FUEL DISPENSER,SCHLUMB,,550231,4,R-87,,12 MONTH,,0
9395172,138,31775,Gasoline,Fuel Dispenser,SCHLUMB,,550231,5,R-87,,12 MONTH,,0
9395173,139,31775,Gasoline,Fuel Dispenser,SCHLUMB,,550228,6,R-87,,12 MONTH,,0
9395174,140,31775,GASOLINE,FUEL DISPENSER,SCHLUMB,,550232,7,R-87,,12 MONTH,,0
9395175,141,31775,GASOLINE,FUEL DISPENSER,SCHLUMB,,5220211,8,R-87,,12 MONTH,,0
9395176,142,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,168439,1,U-93,,12 MONTH,,0
9395177,143,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,168439,2,U-93,,12 MONTH,,0
9395178,144,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,168438,3,U-93,,12 MONTH,,0
9395179,145,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,168438,4,U-93,,12 MONTH,,0
9395180,146,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,168440,5,U-93,,12 MONTH,,0
9395181,147,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,168440,6,U-93,,12 MONTH,,0
9395182,148,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,196279,7,U-93,,12 MONTH,,0
9395183,149,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,196279,8,U-93,,12 MONTH,,0
9395184,150,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,168439,1,S-89,,12 MONTH,,0
9395185,151,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,168439,2,S-89,,12 MONTH,,0
9395186,152,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,168438,3,S-89,,12 MONTH,,0
9395187,153,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,168438,4,S-89,,12 MONTH,,0
9395188,154,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,168440,5,S-89,,12 MONTH,,0
9395189,155,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,168440,6,S-89,,12 MONTH,,0
9395190,156,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,196279,7,S-89,,12 MONTH,,0
9395191,157,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,196279,8,S-89,,12 MONTH,,0
9395192,158,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,168439,1,R-87,,12 MONTH,,0
9395193,159,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,168439,2,R-87,,12 MONTH,,0
9395194,160,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,168438,3,R-87,,12 MONTH,,0
9395195,161,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,168438,4,R-87,,12 MONTH,,0
9395196,162,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,168440,5,R-87,,12 MONTH,,0
9395197,163,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,168440,6,R-87,,12 MONTH,,0
9395198,164,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,196279,7,R-87,,12 MONTH,,0
9395199,165,30567,GASOLINE,FUEL DISPENSER,GILBARCO,,196279,8,R-87,,12 MONTH,,0
9395200,166,31885,DIESEL,FUEL DISPENSER,GASBOY,,11268,1,BIO-DIESEL,,12 MONTH,REJECTED,0
9395201,167,31850,GASOLINE,FUEL DISPENSER,TOKHEIM,,01356,1,R-87,,12 MONTH,,0
9395202,168,30527,DIESEL,FUEL DISPENSER,TOKHEIM,,146381,,DIESEL,,12 MONTH,REJECTED ,0
9395203,169,30527,GASOLINE,FUEL DISPENSER,TUTHILL,,806250,,UNLEADED,,12 MONTH,REJECTED ,0
9395204,15525,30410,GASOLINE,FUEL DISPENSER,GILBARCO,,283955,2,VP-93,,12 MONTH,,0
9395205,15526,30410,GASOLINE,FUEL DISPENSER,GILBARCO,,275243,3,VP-93,,12 MONTH,,0
9395206,15544,30410,GASOLINE,FUEL DISPENSER,GILBARCO,,275246,5,R-87,,12 MONTH,,0
9395207,15545,30410,GASOLINE,FUEL DISPENSER,GILBARCO,,275246,6,R-87,,12 MONTH,,0
9395208,15546,30410,GASOLINE,FUEL DISPENSER,GILBARCO,,275245,7,R-87,,12 MONTH,,0
9395209,15547,30410,GASOLINE,FUEL DISPENSER,GILBARCO,,275245,8,R-87,,12 MONTH,,0
9395210,15548,30410,DIESEL,FUEL DISPENSER,GILBARCO,,275246,5,DIESEL,,12 MONTH,,0
9395211,177,30414,GASOLINE,FUEL DISPENSER,GILBARCO,,00068524,1,S-93,,12 MONTH,,0
9395212,178,30414,GASOLINE,FUEL DISPENSER,GILBARCO,,00068524,2,S-93,,12 MONTH,,0
9395213,179,30414,GASOLINE,FUEL DISPENSER,GILBARCO,,00142058,3,S-93,,12 MONTH,,0
9395214,180,30414,GASOLINE,FUEL DISPENSER,GILBARCO,,00142058,4,S-93,,12 MONTH,,0
9395215,181,30414,GASOLINE,FUEL DISPENSER,GILBARCO,,00068524,1,PL-89,,12 MONTH,,0
9395216,182,30414,GASOLINE,FUEL DISPENSER,GILBARCO,,00068524,2,PL-89,,12 MONTH,,0
9395217,183,30414,GASOLINE,FUEL DISPENSER,GILBARCO,,00142058,3,PL-89,,12 MONTH,,0
9395218,184,30414,GASOLINE,FUEL DISPENSER,GILBARCO,,00142058,4,PL-89,,12 MONTH,,0
9395219,185,30414,GASOLINE,FUEL DISPENSER,GILBARCO,,00068524,1,R-87,,12 MONTH,,0
9395220,186,30414,GASOLINE,FUEL DISPENSER,GILBARCO,,00068524,2,R-87,,12 MONTH,,0
9395221,187,30414,GASOLINE,FUEL DISPENSER,GILBARCO,,00142058,3,R-87,,12 MONTH,,0
9395222,188,30414,GASOLINE,FUEL DISPENSER,GILBARCO,,00142058,4,R-87,,12 MONTH,,0
9395223,189,30420,GASOLINE,FUEL DISPENSER,WAYNE,,29012,1,U-93,,12 MONTH,,0
9395224,190,30420,GASOLINE,FUEL DISPENSER,WAYNE,,29012,2,U-93,,12 MONTH,,0
9395225,191,30420,GASOLINE,FUEL DISPENSER,WAYNE,,40185,3,U-93,,12 MONTH,,1
9395226,192,30420,GASOLINE,FUEL DISPENSER,WAYNE,,40185,4,U-93,,12 MONTH,,1
9395227,193,30420,GASOLINE,FUEL DISPENSER,WAYNE,,29013,3,U-93,,12 MONTH,,0
9395228,194,30420,GASOLINE,FUEL DISPENSER,WAYNE,,29013,4,U-93,,12 MONTH,,0
9395229,195,30420,GASOLINE,FUEL DISPENSER,WAYNE,,40185,3,R-87,,12 MONTH,,1
9395230,196,30420,GASOLINE,FUEL DISPENSER,WAYNE,,40185,4,R-87,,12 MONTH,,1
9395231,197,30420,GASOLINE,FUEL DISPENSER,WAYNE,,29012,1,S-89,,12 MONTH,,0
9395232,198,30420,GASOLINE,FUEL DISPENSER,WAYNE,,29012,2,S-89,,12 MONTH,,0
9395233,199,30420,GASOLINE,FUEL DISPENSER,WAYNE,,40185,3,S-89,,12 MONTH,,1
9395234,200,30420,GASOLINE,FUEL DISPENSER,WAYNE,,40185,4,S-89,,12 MONTH,,1
9395235,201,30420,GASOLINE,FUEL DISPENSER,WAYNE,,29013,3,S-89,,12 MONTH,,0
9395236,202,30420,GASOLINE,FUEL DISPENSER,WAYNE,,29013,4,S-89,,12 MONTH,,0
9395237,203,30420,GASOLINE,FUEL DISPENSER,WAYNE,,29012,1,R-87,,12 MONTH,,0
9395238,204,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45887,1,PR-93,,12 MONTH,,0
9395239,205,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45887,2,PR-93,,12 MONTH,,0
9395240,206,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45885,3,PR-93,,12 MONTH,,0
9395241,207,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45885,4,PR-93,,12 MONTH,,0
9395242,208,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45884,5,PR-93,,12 MONTH,,0
9395243,209,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45884,6,PR-93,,12 MONTH,,0
9395244,210,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45886,7,PR-93,,12 MONTH,,0
9395245,211,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45886,8,PR-93,,12 MONTH,,0
9395246,212,30424,GASOLINE,FUEL DISPENSER,WAYNE,,48887,1,PL-89,,12 MONTH,,0
9395247,213,30424,GASOLINE,FUEL DISPENSER,WAYNE,,48887,2,PL-89,,12 MONTH,,0
9395248,214,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45885,3,PL-89,,12 MONTH,,0
9395249,215,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45885,4,PL-89,,12 MONTH,,0
9395250,216,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45884,5,PL-89,,12 MONTH,,0
9395251,217,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45884,6,PL-89,,12 MONTH,,0
9395252,218,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45886,7,PL-89,,12 MONTH,,0
9395253,219,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45886,8,PL-89,,12 MONTH,,0
9395254,220,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45887,1,R-87,,12 MONTH,,0
9395255,221,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45887,2,R-87,,12 MONTH,,0
9395256,222,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45885,3,R-87,,12 MONTH,,0
9395257,223,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45885,4,R-87,,12 MONTH,,0
9395258,224,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45884,5,R-87,,12 MONTH,,0
9395259,225,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45884,6,R-87,,12 MONTH,,0
9395260,226,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45886,7,R-87,,12 MONTH,,0
9395261,227,30424,GASOLINE,FUEL DISPENSER,WAYNE,,45886,8,R-87,,12 MONTH,,0
9395262,228,30433,Gasoline,Fuel Dispenser,WAYNE,,064252,1,U-93,,12 MONTH,,0
9395263,229,30433,Gasoline,Fuel Dispenser,WAYNE,,064252,2,U-93,,12 MONTH,,0
9395264,230,30433,GASOLINE,FUEL DISPENSER,WAYNE,,064672,3,U-93,,12 MONTH,,0
9395265,15549,30410,DIESEL,FUEL DISPENSER,GILBARCO,,275246,6,DIESEL,,12 MONTH,,0
9395266,16102,31998,DIGITAL,SCALE,ISHIDA,,041070,PR,,30 LB,12 MONTH,,1
9395267,231,30433,GASOLINE,FUEL DISPENSER,WAYNE,,064672,4,U-93,,12 MONTH,,0
9395268,232,30433,GASOLINE,FUEL DISPENSER,WAYNE,,064801,5,U-93,,12 MONTH,,0
9395269,233,30433,GASOLINE,FUEL DISPENSER,WAYNE,,064801,6,U-93,,12 MONTH,,0
9395270,234,30433,GASOLINE,FUEL DISPENSER,WAYNE,,064252,1,S-89,,12 MONTH,,0
9395271,235,30433,GASOLINE,FUEL DISPENSER,WAYNE,,064252,2,S-89,,12 MONTH,,0
9395272,236,30433,GASOLINE,FUEL DISPENSER,WAYNE,,064672,3,S-89,,12 MONTH,,0
9395273,237,30433,GASOLINE,FUEL DISPENSER,WAYNE,,064672,4,S-89,,12 MONTH,,0
9395274,238,30433,GASOLINE,FUEL DISPENSER,WAYNE,,064801,5,S-89,,12 MONTH,,0
9395275,239,30433,GASOLINE,FUEL DISPENSER,WAYNE,,064801,6,S-89,,12 MONTH,,0
9395276,240,30433,Gasoline,Fuel Dispenser,WAYNE,,064252,1,R-87,,12 MONTH,,0
9395277,241,30433,Gasoline,Fuel Dispenser,WAYNE,,064252,2,R-87,,12 MONTH,,0
9395278,242,30433,Gasoline,Fuel Dispenser,WAYNE,,064672,3,R-87,,12 MONTH,,0
9395279,243,30433,GASOLINE,FUEL DISPENSER,WAYNE,,064672,4,R-87,,12 MONTH,,0
9395280,244,30433,GASOLINE,FUEL DISPENSER,WAYNE,,064801,5,R-87,,12 MONTH,,0
9395281,245,30433,GASOLINE,FUEL DISPENSER,WAYNE,,064801,6,R-87,,12 MONTH,,0
9395282,246,30433,DIESEL,FUEL DISPENSER,WAYNE,,064252,1,DIESEL,,12 MONTH,,0
9395283,247,30433,Diesel,Fuel Dispenser,WAYNE,,064252,2,DIESEL,,12 MONTH,,0
9395284,248,30433,DIESEL,FUEL DISPENSER,WAYNE,,099610,7,OFF RD DIESEL,,12 MONTH,,0
9395285,249,30437,GASOLINE,FUEL DISPENSER,WAYNE,,68560,1,U-93,,12 MONTH,,0
